date,open,high,low,close,volume
2017-02-24,96.6954,101.6064,95.3307,101.0685,25747597
2017-02-27,101.8056,104.6147,101.1681,104.0071,17885019
2017-02-28,104.3956,104.794,100.3861,101.0884,15633968
2017-03-01,103.3895,103.9672,100.7198,102.3933,12620139
2017-03-02,101.8753,102.4431,98.5084,98.6179,18858278
2017-03-03,98.1896,98.3888,95.8487,98.0501,21636424
2017-03-06,96.5858,97.7214,94.8027,97.2931,22089169
2017-03-07,97.2931,99.1459,96.7751,98.359,15085007
2017-03-08,100.3114,100.9091,98.09,98.1796,15967822
2017-03-09,97.5322,99.0662,97.0241,98.1597,11951471
2017-03-10,99.2256,99.7037,98.0003,98.7375,12493513
2017-03-13,99.1559,101.8554,99.126,101.457,19353402
2017-03-14,101.9749,102.3535,100.0823,101.3872,13050415
2017-03-15,101.8554,102.5926,99.9329,102.1543,15375852
2017-03-16,102.5826,103.4293,102.0148,103.4094,13077495
2017-03-17,104.1166,105.7105,103.4094,105.6607,27992169
2017-03-20,106.3679,109.187,105.7204,109.0276,18714152
2017-03-21,108.3303,109.5357,105.1775,105.5013,22837103
2017-03-22,105.053,107.8422,104.8936,107.6529,15419106
2017-03-23,107.3342,108.1383,106.2882,106.6767,13348542
2017-03-24,108.5495,108.8682,106.0093,107.0553,10987546
2017-03-27,105.1726,107.9867,103.1753,107.8323,12666100
2017-03-28,107.8821,108.4698,106.856,107.2744,10811109
2017-03-29,107.5733,108.0713,106.8361,106.9258,8749791
2017-03-30,107.2146,109.5755,106.9855,108.9778,13138349
2017-03-31,108.5893,109.4659,107.9838,108.5096,11020165
2017-04-03,108.5296,109.2268,107.0055,107.9618,11130813
2017-04-04,103.001,104.017,99.9528,100.3911,31782004
2017-04-05,99.629,101.9749,99.116,99.644,18676232
2017-04-06,99.8532,100.8593,98.0302,100.3712,15878004
2017-04-07,100.6302,101.3374,99.3352,99.9428,10628889
2017-04-10,99.9727,100.2417,97.2234,97.3927,18908264
2017-04-11,96.1774,98.5182,95.9782,97.7413,15453747
